Zeit,Sensor A,Sensor B,Sensor C
2000-01-01 17:27:00,16.625,17.000,16.375
2000-01-01 17:28:03,16.625,16.938,16.375
2000-01-01 17:29:05,16.625,17.000,16.375
2000-01-01 17:30:07,16.625,17.000,16.375
2000-01-01 17:31:10,16.625,17.000,16.375
2000-01-01 17:32:12,16.625,16.938,16.375
2000-01-01 17:33:14,16.625,16.938,16.375
2000-01-01 17:34:17,16.625,17.000,16.375
2000-01-01 17:35:19,16.625,17.000,16.375
2000-01-01 17:36:22,16.625,17.000,16.375
2000-01-01 17:37:24,16.625,16.938,16.375
2000-01-01 17:38:26,16.625,16.938,16.375
2000-01-01 17:39:29,16.625,16.938,16.313
2000-01-01 17:40:31,16.625,17.000,16.375
2000-01-01 17:41:33,16.625,16.938,16.375
2000-01-01 17:42:36,16.625,16.938,16.375
2000-01-01 17:43:38,16.625,16.938,16.375
2000-01-01 17:44:41,16.625,17.000,16.375
2000-01-01 17:45:43,16.625,17.000,16.375
2000-01-01 17:46:45,16.625,16.938,16.375
2000-01-01 17:47:48,16.625,16.938,16.375
2000-01-01 17:48:50,16.625,17.000,16.375
2000-01-01 17:49:53,16.625,16.938,16.375
2000-01-01 17:50:55,16.625,16.938,16.375
2000-01-01 17:51:57,16.625,17.000,16.375
2000-01-01 17:53:00,16.625,16.938,16.375
2000-01-01 17:54:02,16.625,17.000,16.375
2000-01-01 17:55:05,16.625,16.938,16.375
2000-01-01 17:56:07,16.625,16.938,16.375
2000-01-01 17:57:09,16.625,16.938,16.375
2000-01-01 17:58:12,16.625,16.938,16.375
2000-01-01 17:59:14,16.625,16.938,16.375
2000-01-01 18:00:17,16.625,16.938,16.375
2000-01-01 18:01:19,16.625,17.000,16.375
2000-01-01 18:02:22,16.625,17.000,16.375
2000-01-01 18:03:24,16.625,16.938,16.375
2000-01-01 18:04:27,16.625,16.938,16.375
2000-01-01 18:05:29,16.625,17.000,16.375
2000-01-01 18:06:31,16.625,17.000,16.375
2000-01-01 18:07:34,16.625,17.000,16.375
2000-01-01 18:08:36,16.625,17.000,16.375
2000-01-01 18:09:38,16.625,17.000,16.375
2000-01-01 18:10:41,16.625,17.000,16.375
2000-01-01 18:11:43,16.625,16.938,16.375
2000-01-01 18:12:45,16.625,17.000,16.375
2000-01-01 18:13:48,16.625,16.938,16.375
2000-01-01 18:14:50,16.688,17.000,16.438
2000-01-01 18:15:53,16.750,17.063,16.500
2000-01-01 18:16:55,16.813,17.125,16.563
2000-01-01 18:17:57,16.875,17.250,16.625
2000-01-01 18:19:00,16.938,17.250,16.688
2000-01-01 18:20:02,17.000,17.313,16.750
2000-01-01 18:21:05,17.063,17.375,16.813
2000-01-01 18:22:07,17.063,17.438,16.813
2000-01-01 18:23:09,17.125,17.438,16.875
2000-01-01 18:24:12,17.188,17.438,16.875
2000-01-01 18:25:14,17.188,17.500,16.938
2000-01-01 18:26:16,17.188,17.500,16.938
2000-01-01 18:27:19,17.250,17.500,16.938
2000-01-01 18:28:21,17.250,17.563,17.000
2000-01-01 18:29:24,17.250,17.563,17.000
2000-01-01 18:30:26,17.313,17.625,17.063
2000-01-01 18:31:28,17.313,17.625,17.063
2000-01-01 18:32:31,17.375,17.688,17.063
2000-01-01 18:33:33,17.375,17.688,17.125
2000-01-01 18:34:36,17.375,17.688,17.125
2000-01-01 18:35:38,17.375,17.688,17.125
2000-01-01 18:36:40,17.375,17.750,17.125
2000-01-01 18:37:43,17.438,17.750,17.188
2000-01-01 18:38:45,17.500,17.813,17.188
2000-01-01 18:39:48,17.500,17.813,17.250
2000-01-01 18:40:50,17.563,17.875,17.313
2000-01-01 18:41:53,17.563,17.875,17.313
2000-01-01 18:42:55,17.563,17.938,17.313
2000-01-01 18:43:57,17.563,17.875,17.313
2000-01-01 18:45:00,17.625,17.938,17.313
2000-01-01 18:46:02,17.563,17.938,17.313
2000-01-01 18:47:05,17.625,17.938,17.375
2000-01-01 18:48:07,17.625,17.875,17.313
2000-01-01 18:49:10,17.563,17.938,17.313
2000-01-01 18:50:12,17.563,17.875,17.313
2000-01-01 18:51:14,17.563,17.875,17.250
2000-01-01 00:00:06,17.563,17.875,17.313
2000-01-01 00:01:08,17.563,17.938,17.313
